"","dt","lm","dl","dt_years"
"330",0.00746856821167198,33.02,27.94,2.72602739726027
"331",0.00448114092700319,28.448,16.002,1.63561643835616
"332",0.00978044661287296,22.098,24.892,3.56986301369863
"333",0.00737849502720961,30.734,27.686,2.69315068493151
"334",0.00245449427659974,30.48,6.604,0.895890410958904
"335",0.00225933571026459,22.352,6.35,0.824657534246575
"336",0.00796397072621505,30.988,14.732,2.90684931506849
"337",0.00209420153875023,28.956,6.604,0.764383561643836
"338",0.00646275098517546,30.48,22.86,2.35890410958904
"339",0.00225933571026459,27.94,6.35,0.824657534246575
"340",0.000653030587352224,26.416,5.842,0.238356164383562
"341",0.000547945205479452,32.258,3.30200000000001,0.2
"342",0.000547945205479452,24.892,1.778,0.2
"343",0.00162131732032276,27.432,4.318,0.591780821917808
"344",0.00164383561643836,27.94,2.032,0.6
"345",0.00246200037530494,29.972,9.398,0.898630136986301
"346",0.00271720773128167,33.02,10.16,0.991780821917808
"347",0.00678551322949897,30.48,17.78,2.47671232876712
"348",0.000577969600300244,31.496,0,0.210958904109589
"349",0.0122949896791143,30.734,20.066,4.48767123287671
"350",0.00117095139801088,43.18,2.54,0.427397260273973
"351",0.00261962844811409,49.022,2.413,0.956164383561644
"352",0.0048189153687371,52.832,3.048,1.75890410958904
"353",0.0011033965096641,39.878,2.286,0.402739726027397
"354",0.000810658660161381,49.53,0.762,0.295890410958904
"355",0.00346031150309627,28.702,6.858,1.26301369863014
"356",0.00340776881215988,44.45,3.81,1.24383561643836
"357",0.0175567648714581,27.432,18.288,6.40821917808219
"358",0.00737098892850441,37.084,12.446,2.69041095890411
"359",0.0105160442859824,28.448,27.432,3.83835616438356
"360",0.00775379996246951,27.178,19.812,2.83013698630137
"361",0.0140739350722462,30.988,24.892,5.13698630136986
"362",0.00253706136235692,41.656,4.826,0.926027397260274
"363",0.00349784199662226,37.084,3.556,1.27671232876712
"364",0.0121974103959467,41.91,12.7,4.45205479452055
"365",0.00553199474573091,40.132,10.668,2.01917808219178
"366",0.000660536686057422,34.29,2.54,0.241095890410959
"367",0.00866203790579846,35.56,17.145,3.16164383561644
