"","summary.mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.Rhat","summary.n.eff"
"p.value[248,1]",0.604785714285714,0.488899580273037,0,0,1,1,1,1.00100776687496,74000
"p.value[249,1]",0.424547619047619,0.494277095017736,0,0,0,1,1,1.00100038319912,84000
"p.value[250,1]",0.241404761904762,0.427937709207363,0,0,0,0,1,1.00099389427833,84000
"p.value[251,1]",0.34797619047619,0.476331252834314,0,0,0,1,1,1.00098340848105,84000
"p.value[252,1]",0.294678571428571,0.455900850319007,0,0,0,1,1,1.00102708520239,43000
"p.value[253,1]",0.792488095238095,0.405527646300341,0,1,1,1,1,1.00098535983576,84000
"p.value[254,1]",0.575642857142857,0.494247980543368,0,0,1,1,1,1.00099198323581,84000
"p.value[255,1]",0.70347619047619,0.456727405836038,0,0,1,1,1,1.00100193712398,84000
"p.value[256,1]",0.706023809523809,0.455583868043993,0,0,1,1,1,1.00098641931929,84000
"p.value[257,1]",0.433928571428571,0.495618291210454,0,0,0,1,1,1.00099898964955,84000
"p.value[258,1]",0.70472619047619,0.456168460320322,0,0,1,1,1,1.00098652719842,84000
"p.value[259,1]",0.454821428571429,0.497957677529369,0,0,0,1,1,1.00099052738223,84000
"p.value[260,1]",0.708214285714286,0.454586923849403,0,0,1,1,1,1.00100770178168,74000
"p.value[261,1]",0.643880952380952,0.47885384128748,0,0,1,1,1,1.00098354630065,84000
"p.value[262,1]",0.746761904761905,0.434868731547219,0,0,1,1,1,1.00098216819946,84000
"p.value[263,1]",0.452190476190476,0.497711963335596,0,0,0,1,1,1.00099746560025,84000
"p.value[264,1]",0.554178571428571,0.497058974045528,0,0,1,1,1,1.00102108453437,49000
"p.value[265,1]",0.733833333333333,0.44195508540063,0,0,1,1,1,1.00101232795103,63000
"p.value[266,1]",0.29952380952381,0.458052174770098,0,0,0,1,1,1.00099947316319,84000
"p.value[267,1]",0.277309523809524,0.447673248768917,0,0,0,1,1,1.00103755967233,35000
"p.value[268,1]",0.311357142857143,0.463051212098044,0,0,0,1,1,1.00098832477836,84000
"p.value[269,1]",0.28302380952381,0.450470585638342,0,0,0,1,1,1.00098593494492,84000
"p.value[270,1]",0.354071428571429,0.478233807619285,0,0,0,1,1,1.00101621130061,56000
"p.value[271,1]",0.241380952380952,0.427923320454951,0,0,0,0,1,1.00099031595942,84000
"p.value[272,1]",0.398011904761905,0.489490838347262,0,0,0,1,1,1.00099211740555,84000
"p.value[273,1]",0.449583333333333,0.49745462676285,0,0,0,1,1,1.00100359199849,84000
"p.value[274,1]",0.25047619047619,0.433289860811394,0,0,0,1,1,1.00100479001427,83000
"p.value[275,1]",0.481940476190476,0.499676721433908,0,0,0,1,1,1.00103276247949,38000
"p.value[276,1]",0.35247619047619,0.477744118498392,0,0,0,1,1,1.00101410378626,60000
"p.value[277,1]",0.565261904761905,0.495725538285438,0,0,1,1,1,1.00109160139554,18000
"p.value[278,1]",0.237964285714286,0.425839691951879,0,0,0,0,1,1.00102071852618,50000
"p.value[279,1]",0.897678571428571,0.303072346664634,0,1,1,1,1,1.00098321280966,84000
"p.value[280,1]",0.594785714285714,0.490936388583747,0,0,1,1,1,1.00098589654259,84000
