"L1","L2","X.","dt","L2measurer"
30.48,70.485,0,8.57534246575342,0
33.02,41.91,0,0.879452054794521,0
31.75,48.26,0,2.21095890410959,0
35.56,57.15,0,6.91232876712329,0
35.56,40.64,0,1.25205479452055,0
38.1,66.04,0,4.49041095890411,0
34.29,38.1,0,0.30958904109589,0
29.21,48.26,0,4.59452054794521,0
27.94,36.068,0,0.578082191780822,0
33.02,45.72,0,1.57260273972603,0
31.75,36.83,0,0.632876712328767,0
30.48,42.545,0,1.11780821917808,0
33.02,39.116,0,0.575342465753425,0
30.48,38.735,0,1.52328767123288,0
30.48,35.56,0,0.441095890410959,0
34.29,48.895,0,1.74246575342466,0
35.56,48.26,0,2.14246575342466,0
33.02,45.72,0,2.14246575342466,0
31.75,43.18,0,2.09315068493151,0
34.29,53.34,0,3.6027397260274,0
38.1,52.07,0,4.26027397260274,0
30.48,39.37,0,1.9041095890411,0
30.48,52.07,0,7.01643835616438,0
34.29,44.45,0,1.52054794520548,0
31.75,40.64,0,1.73972602739726,0
33.02,43.18,0,2.06849315068493,0
33.02,38.1,0,0.531506849315069,0
30.48,37.592,0,0.504109589041096,0
35.56,62.23,0,7.58356164383562,0
33.02,43.18,0,0.501369863013699,0
