Tag Date,Location,Station,Depth (fa.),Fish Spp.,Tagged before?,Tag #,F. L. (in.),Remarks,Recapture date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (miles) moved,Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.), Retagged?
1992-02-19,312,31,54,1,0,E018,12.30,,,,,,,,-32191,-12.3,,,,,,,,,-32191,-12.3,,,,,,,,,-32191,-12.3,,,,,,,,,-32191,-12.3,,
1992-02-19,312,31,54,1,0,E019,12.10,,,,,,,,-32191,-12.1,,,,,,,,,-32191,-12.1,,,,,,,,,-32191,-12.1,,,,,,,,,-32191,-12.1,,
1992-02-19,312,31,54,1,0,E020,12.20,,,,,,,,-32191,-12.2,,,,,,,,,-32191,-12.2,,,,,,,,,-32191,-12.2,,,,,,,,,-32191,-12.2,,
1992-02-19,312,31,54,1,0,E021,11.90,,,,,,,,-32191,-11.9,,,,,,,,,-32191,-11.9,,,,,,,,,-32191,-11.9,,,,,,,,,-32191,-11.9,,
1992-02-19,312,31,54,1,0,E022,11.20,,,,,,,,-32191,-11.2,,,,,,,,,-32191,-11.2,,,,,,,,,-32191,-11.2,,,,,,,,,-32191,-11.2,,
1992-02-19,312,31,54,1,0,E023,11.80,,,,,,,,-32191,-11.8,,,,,,,,,-32191,-11.8,,,,,,,,,-32191,-11.8,,,,,,,,,-32191,-11.8,,
1992-02-19,312,31,54,1,0,E024,11.60,,,,,,,,-32191,-11.6,,,,,,,,,-32191,-11.6,,,,,,,,,-32191,-11.6,,,,,,,,,-32191,-11.6,,
1992-02-19,312,31,54,1,0,E025,10.70,,,,,,,,-32191,-10.7,,,,,,,,,-32191,-10.7,,,,,,,,,-32191,-10.7,,,,,,,,,-32191,-10.7,,
1992-02-19,312,31,54,1,0,E026,10.70,,,,,,,,-32191,-10.7,,,,,,,,,-32191,-10.7,,,,,,,,,-32191,-10.7,,,,,,,,,-32191,-10.7,,
1992-02-19,312,31,54,1,0,E027,10.70,,,,,,,,-32191,-10.7,,,,,,,,,-32191,-10.7,,,,,,,,,-32191,-10.7,,,,,,,,,-32191,-10.7,,
1992-02-19,312,31,54,1,0,E028,10.30,,,,,,,,-32191,-10.3,,,,,,,,,-32191,-10.3,,,,,,,,,-32191,-10.3,,,,,,,,,-32191,-10.3,,
1992-02-19,312,31,54,1,0,E029,11.40,,,,,,,,-32191,-11.4,,,,,,,,,-32191,-11.4,,,,,,,,,-32191,-11.4,,,,,,,,,-32191,-11.4,,
1992-02-19,312,31,54,1,0,E030,11.30,,,,,,,,-32191,-11.3,,,,,,,,,-32191,-11.3,,,,,,,,,-32191,-11.3,,,,,,,,,-32191,-11.3,,
1992-02-19,312,31,54,1,0,E031,9.50,,,,,,,,-32191,-9.5,,,,,,,,,-32191,-9.5,,,,,,,,,-32191,-9.5,,,,,,,,,-32191,-9.5,,
1992-02-19,312,31,54,1,0,E032,11.00,,,,,,,,-32191,-11,,,,,,,,,-32191,-11,,,,,,,,,-32191,-11,,,,,,,,,-32191,-11,,
1992-02-19,312,31,54,1,0,E033,10.60,,,,,,,,-32191,-10.6,,,,,,,,,-32191,-10.6,,,,,,,,,-32191,-10.6,,,,,,,,,-32191,-10.6,,
1992-02-19,312,32,61B,1,0,E034,15.50,,,,,,,,-32191,-15.5,,,,,,,,,-32191,-15.5,,,,,,,,,-32191,-15.5,,,,,,,,,-32191,-15.5,,
1992-02-19,312,32,61B,1,0,E035,17.00,,,,,,,,-32191,-17,,,,,,,,,-32191,-17,,,,,,,,,-32191,-17,,,,,,,,,-32191,-17,,
1992-02-19,312,32,61B,1,0,E036,17.40,,,,,,,,-32191,-17.4,,,,,,,,,-32191,-17.4,,,,,,,,,-32191,-17.4,,,,,,,,,-32191,-17.4,,
1992-02-19,312,32,61B,1,0,E037,10.40,,,,,,,,-32191,-10.4,,,,,,,,,-32191,-10.4,,,,,,,,,-32191,-10.4,,,,,,,,,-32191,-10.4,,
1992-02-19,312,32,61B,1,0,E038,11.00,,,,,,,,-32191,-11,,,,,,,,,-32191,-11,,,,,,,,,-32191,-11,,,,,,,,,-32191,-11,,
1992-02-19,312,32,61B,1,0,E039,10.80,,,,,,,,-32191,-10.8,,,,,,,,,-32191,-10.8,,,,,,,,,-32191,-10.8,,,,,,,,,-32191,-10.8,,
1992-02-19,312,32,61B,1,0,E040,10.00,,,,,,,,-32191,-10,,,,,,,,,-32191,-10,,,,,,,,,-32191,-10,,,,,,,,,-32191,-10,,
1992-02-19,312,32,61B,1,0,E041,10.60,,,,,,,,-32191,-10.6,,,,,,,,,-32191,-10.6,,,,,,,,,-32191,-10.6,,,,,,,,,-32191,-10.6,,
1992-02-19,312,32,61B,1,0,E042,11.40,,,,,,,,-32191,-11.4,,,,,,,,,-32191,-11.4,,,,,,,,,-32191,-11.4,,,,,,,,,-32191,-11.4,,
1992-02-19,312,32,61B,1,0,E043,11.00,,,,,,,,-32191,-11,,,,,,,,,-32191,-11,,,,,,,,,-32191,-11,,,,,,,,,-32191,-11,,
1992-02-19,312,32,61B,1,0,E044,10.20,,,,,,,,-32191,-10.2,,,,,,,,,-32191,-10.2,,,,,,,,,-32191,-10.2,,,,,,,,,-32191,-10.2,,
1992-02-20,312,32,61B,1,0,E045,10.60,,,,,,,,-32192,-10.6,,,,,,,,,-32192,-10.6,,,,,,,,,-32192,-10.6,,,,,,,,,-32192,-10.6,,
1992-02-20,312,32,61B,1,0,E046,11.10,,,,,,,,-32192,-11.1,,,,,,,,,-32192,-11.1,,,,,,,,,-32192,-11.1,,,,,,,,,-32192,-11.1,,
1992-02-20,312,32,61B,1,0,E047,10.00,,,,,,,,-32192,-10,,,,,,,,,-32192,-10,,,,,,,,,-32192,-10,,,,,,,,,-32192,-10,,
1992-02-20,312,32,61B,1,0,E048,10.20,,,,,,,,-32192,-10.2,,,,,,,,,-32192,-10.2,,,,,,,,,-32192,-10.2,,,,,,,,,-32192,-10.2,,
1992-02-20,312,32,61B,1,0,E049,9.00,,,,,,,,-32192,-9,,,,,,,,,-32192,-9,,,,,,,,,-32192,-9,,,,,,,,,-32192,-9,,
1992-02-21,331,30,52,1,0,E050,15.00,,,,,,,,-32193,-15,,,,,,,,,-32193,-15,,,,,,,,,-32193,-15,,,,,,,,,-32193,-15,,
1992-02-21,331,30,52,1,0,E051,14.50,,1992-12-18,351,30,110,17,2.5,301,2.5,40,,,,,,,,-32193,-14.5,,,,,,,,,-32193,-14.5,,,,,,,,,-32193,-14.5,,
1992-02-21,331,30,52,1,0,E052,15.50,,1993-09-19,452,30,63,19.5,,576,4,50,N,,,,,,,-32193,-15.5,,,,,,,,,-32193,-15.5,,,,,,,,,-32193,-15.5,,
