date,length,month,year,month_year
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,15,March,1990,Mar-90
1990-03-01,16,March,1990,Mar-90
1990-03-01,16,March,1990,Mar-90
1990-03-01,16,March,1990,Mar-90
1990-03-01,16,March,1990,Mar-90
1990-03-01,16,March,1990,Mar-90
1990-03-01,16,March,1990,Mar-90
1990-03-01,16,March,1990,Mar-90
1990-03-01,16,March,1990,Mar-90
1990-03-01,17,March,1990,Mar-90
1990-03-01,17,March,1990,Mar-90
1990-03-01,17,March,1990,Mar-90
1990-03-01,17,March,1990,Mar-90
1990-04-01,11,April,1990,Apr-90
1990-04-01,12,April,1990,Apr-90
1990-04-01,12,April,1990,Apr-90
1990-04-01,12,April,1990,Apr-90
1990-04-01,12,April,1990,Apr-90
1990-04-01,12,April,1990,Apr-90
1990-04-01,12,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,13,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,14,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,15,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,16,April,1990,Apr-90
1990-04-01,17,April,1990,Apr-90
1990-04-01,17,April,1990,Apr-90
1990-04-01,17,April,1990,Apr-90
1990-04-01,17,April,1990,Apr-90
1990-04-01,18,April,1990,Apr-90
1990-04-01,18,April,1990,Apr-90
1990-04-01,18,April,1990,Apr-90
1990-04-01,18,April,1990,Apr-90
1990-04-01,19,April,1990,Apr-90
1990-04-01,19,April,1990,Apr-90
